Disease,Model,Recall,AUC,Accuracy
Heart,Voting (Soft),0.9285714285714286,0.9556277056277056,0.8688524590163934
Heart,Stacking,0.9285714285714286,0.9556277056277056,0.8688524590163934
Heart,Base_LR,0.8928571428571429,0.958874458874459,0.8688524590163934
Heart,Base_RF,0.9285714285714286,0.9431818181818181,0.8852459016393442
Heart,Base_SVM,0.9285714285714286,0.9621212121212122,0.8524590163934426
Diabetes,Voting (Soft),0.6296296296296297,0.823888888888889,0.7662337662337663
Diabetes,Stacking,0.5925925925925926,0.8294444444444444,0.7662337662337663
Diabetes,Base_LR,0.7222222222222222,0.7649999999999999,0.7012987012987013
Diabetes,Base_RF,0.7037037037037037,0.8338888888888888,0.7727272727272727
Diabetes,Base_SVM,0.5,0.785,0.7272727272727273
Diabetes,"Optimized Voting (LR+RF, Th=0.4)",0.8703703703703703,0.8262962962962962,0.7532467532467533
Stroke,Voting (Soft),0.78,0.8380246913580247,0.773972602739726
Stroke,Stacking,0.2,0.7139506172839506,0.9001956947162426
Stroke,Base_LR,0.82,0.8407201646090535,0.7289628180039139
Stroke,Base_RF,0.44,0.7936831275720164,0.8610567514677103
Stroke,Base_SVM,0.78,0.8395061728395061,0.7495107632093934
CKD,Voting (Soft),1.0,1.0,1.0
CKD,Stacking,1.0,1.0,1.0
CKD,Base_LR,0.96,0.9993333333333333,0.975
CKD,Base_RF,1.0,1.0,1.0
CKD,Base_SVM,0.98,1.0,0.9875
